Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_63_502,VDD,Metal1,247.6910,253.8560,1.200000
FILLER_63_495,VDD,Metal1,245.0490,253.8580,1.200000
FILLER_63_488,VDD,Metal1,241.6890,253.8580,1.200000
FILLER_63_481,VDD,Metal1,238.3290,253.8580,1.200000
FILLER_63_474,VDD,Metal1,234.9690,253.8580,1.200000
FILLER_63_467,VDD,Metal1,231.6090,253.8580,1.200000
FILLER_63_460,VDD,Metal1,228.2490,253.8580,1.199999
FILLER_63_453,VDD,Metal1,224.8890,253.8580,1.199999
FILLER_63_446,VDD,Metal1,221.5290,253.8580,1.199999
FILLER_63_439,VDD,Metal1,218.1690,253.8580,1.199999
FILLER_63_432,VDD,Metal1,214.8090,253.8580,1.199999
FILLER_63_425,VDD,Metal1,211.4490,253.8580,1.199999
FILLER_63_418,VDD,Metal1,208.0890,253.8580,1.199999
FILLER_63_411,VDD,Metal1,204.7290,253.8580,1.199999
FILLER_63_404,VDD,Metal1,201.3690,253.8580,1.199999
FILLER_63_397,VDD,Metal1,198.0090,253.8580,1.199999
FILLER_63_390,VDD,Metal1,194.6490,253.8580,1.199999
FILLER_63_383,VDD,Metal1,191.2890,253.8580,1.199999
FILLER_63_376,VDD,Metal1,187.9290,253.8580,1.199999
FILLER_63_369,VDD,Metal1,184.5690,253.8580,1.199999
FILLER_63_362,VDD,Metal1,181.2090,253.8580,1.199999
FILLER_63_355,VDD,Metal1,177.8490,253.8580,1.199999
FILLER_63_348,VDD,Metal1,174.4890,253.8580,1.199999
FILLER_63_341,VDD,Metal1,171.1290,253.8580,1.199999
FILLER_63_336,VDD,Metal1,167.2800,253.2600,1.199999
FILLER_63_332,VDD,Metal1,166.0910,253.8560,1.199999
FILLER_63_325,VDD,Metal1,163.4490,253.8580,1.199999
FILLER_63_320,VDD,Metal1,159.6000,253.2600,1.199905
FILLER_63_318,VDD,Metal1,158.8800,253.2600,1.199905
FILLER_63_311,VDD,Metal1,156.7290,253.8580,1.199905
FILLER_63_306,VDD,Metal1,152.8800,253.2600,1.199812
FILLER_63_299,VDD,Metal1,150.9690,253.8580,1.199812
FILLER_63_293,VDD,Metal1,146.8800,253.2600,1.199810
FILLER_63_289,VDD,Metal1,145.4510,253.8560,1.199810
FILLER_63_284,VDD,Metal1,142.3200,253.2600,1.199809
FILLER_63_257,VDD,Metal1,130.8090,253.8580,1.199821
FILLER_63_243,VDD,Metal1,122.8800,253.2600,1.199824
FILLER_63_237,VDD,Metal1,120.0000,253.2600,1.199839
FILLER_63_230,VDD,Metal1,117.8490,253.8580,1.199841
FILLER_63_223,VDD,Metal1,114.4890,253.8580,1.199892
FILLER_63_216,VDD,Metal1,111.1290,253.8580,1.199892
