net,length_um
clknet_0_clk_i,549.3µm
net158,362.485µm
net149,273.06µm
net157,230.73µm
net145,230.695µm
clk_i,227.725µm
net75,204.08µm
net81,204.075µm
net84,199.525µm
net98,195.48µm
net83,194.08µm
net148,181.405µm
net140,180.83µm
net144,175.88µm
net153,172.44µm
net110,172.275µm
net107,169.32µm
net95,165.78µm
net88,165.725µm
net142,164.34µm
net147,162.675µm
net91,160.34µm
net152,158.41µm
net150,157.005µm
net93,156.785µm
net116,155.75µm
net96,153.65µm
net111,152.94µm
net129,150.19µm
net74,147.53µm
_0272_,146.3µm
net151,141.36µm
net156,140.92µm
net114,140.09µm
net121,139.32µm
net106,138.2µm
net134,137.15µm
_0291_,134.93µm
net131,134.205µm
net127,134.05µm
u_boot_ctrl.state\[4\],132.13µm
net89,131.505µm
clknet_5_5__leaf_clk_i,130.865µm
_0282_,130.11µm
net141,129.325µm
net137,128.58µm
net155,125.03µm
net97,124.71µm
net120,123.65µm
net135,123.475µm
net76,123.15µm
u_boot_ctrl.word_cnt\[24\],122.21µm
_0003_,121.81µm
net14,121.51µm
net71,120.58µm
net136,118.75µm
net125,117.63µm
u_boot_ctrl.state\[0\],117.555µm
net101,117.49µm
net146,116.8µm
net86,116.585µm
_0210_,114.98µm
clknet_5_22__leaf_clk_i,114.85µm
net138,114.5µm
clknet_5_18__leaf_clk_i,113.805µm
net154,113.72µm
spi_done,112.33µm
net16,109.7µm
clknet_5_28__leaf_clk_i,108.825µm
net15,105.91µm
clknet_5_19__leaf_clk_i,105.81µm
net99,105.655µm
net102,105.125µm
net17,104.95µm
net112,103.545µm
clknet_5_31__leaf_clk_i,102.52µm
clknet_5_24__leaf_clk_i,102.02µm
net108,101.96µm
net139,100.78µm
u_boot_ctrl.word_cnt\[28\],100.69µm
net115,100.42µm
u_boot_ctrl.word_cnt\[9\],100.26µm
clknet_5_16__leaf_clk_i,100.245µm
clknet_5_6__leaf_clk_i,98.46µm
clknet_5_13__leaf_clk_i,98.295µm
_0510_,98.17µm
_0185_,96.61µm
u_boot_ctrl.word_cnt\[17\],95.8µm
net105,95.7µm
clknet_5_25__leaf_clk_i,95.56µm
clknet_5_27__leaf_clk_i,94.83µm
clknet_5_12__leaf_clk_i,94.05µm
clknet_5_29__leaf_clk_i,94.05µm
clknet_5_4__leaf_clk_i,93.325µm
net109,92.065µm
clknet_5_0__leaf_clk_i,91.24µm
u_boot_ctrl.word_cnt\[8\],91.07µm
_0187_,90.91µm
net128,90.71µm
net143,90.53µm
u_boot_ctrl.word_cnt\[16\],89.805µm
u_boot_ctrl.word_cnt\[5\],89.425µm
net85,89.17µm
net130,89.135µm
_0309_,85.7µm
net124,85.655µm
clknet_5_23__leaf_clk_i,85.53µm
net2,85.22µm
clknet_5_2__leaf_clk_i,84.26µm
u_boot_ctrl.word_cnt\[14\],83.975µm
_0184_,83.505µm
net118,83.26µm
net77,83.23µm
net113,83.085µm
net100,82.94µm
_0298_,82.77µm
clknet_5_8__leaf_clk_i,82.585µm
net122,81.735µm
clknet_5_3__leaf_clk_i,80.89µm
u_boot_ctrl.word_cnt\[13\],80.405µm
net78,80.355µm
net117,79.645µm
clknet_5_26__leaf_clk_i,79.205µm
net79,78.355µm
net104,77.515µm
clknet_5_7__leaf_clk_i,77.085µm
net45,76.63µm
net94,76.47µm
u_boot_ctrl.word_cnt\[6\],75.695µm
net80,75.695µm
_0211_,75.43µm
_0311_,74.915µm
net126,74.41µm
clknet_5_30__leaf_clk_i,74.11µm
net92,73.615µm
clknet_5_1__leaf_clk_i,72.84µm
clknet_5_20__leaf_clk_i,72.81µm
clknet_5_21__leaf_clk_i,72.31µm
net11,71.17µm
_0208_,70.59µm
net72,70.58µm
_0480_,69.685µm
u_boot_ctrl.word_cnt\[10\],69.4µm
net68,68.89µm
_0212_,68.71µm
_0215_,68.59µm
net132,68.57µm
net20,68.12µm
u_boot_ctrl.word_cnt\[25\],67.93µm
clknet_5_10__leaf_clk_i,67.845µm
_0273_,67.495µm
net69,67.29µm
net18,66.8µm
u_boot_ctrl.word_cnt\[7\],65.31µm
_0334_,64.93µm
clknet_5_15__leaf_clk_i,64.29µm
_0345_,63.7µm
u_boot_ctrl.word_cnt\[4\],63.355µm
clknet_5_9__leaf_clk_i,63.28µm
net119,62.705µm
net34,61.68µm
_0475_,61.545µm
net90,61.1µm
u_boot_ctrl.word_cnt\[1\],59.835µm
net123,59.495µm
_0179_,59.47µm
clknet_5_11__leaf_clk_i,59.1µm
u_boot_ctrl.state\[1\],59.06µm
clknet_5_14__leaf_clk_i,58.82µm
net133,58.485µm
net65,58.265µm
_0312_,56.49µm
u_boot_ctrl.byte_cnt\[0\],55.765µm
net64,55.1µm
net67,55.09µm
net87,54.935µm
_0336_,54.835µm
clknet_5_17__leaf_clk_i,53.9µm
_0192_,53.72µm
u_boot_ctrl.word_cnt\[18\],53.185µm
net42,52.64µm
u_boot_ctrl.word_cnt\[2\],52.185µm
_0476_,51.76µm
u_boot_ctrl.word_cnt\[11\],50.615µm
u_boot_ctrl.word_asm\[1\],50.555µm
u_boot_ctrl.word_cnt\[22\],50.48µm
u_boot_ctrl.word_cnt\[20\],50.375µm
_0313_,50.005µm
_0216_,49.93µm
u_spi.div_cnt\[0\],49.46µm
u_spi.bit_cnt\[1\],49.215µm
u_boot_ctrl.state\[7\],49.2µm
net56,49.16µm
_0314_,48.85µm
net60,48.32µm
net33,48.3µm
net29,47.89µm
u_boot_ctrl.word_cnt\[3\],46.765µm
u_spi.bit_cnt\[0\],45.7µm
spi_rx\[1\],45.67µm
_0194_,45.605µm
_0276_,45.265µm
