Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_63_502,VSS,Metal1,247.6680,256.6630,0.000001
FILLER_63_495,VSS,Metal1,245.0460,256.5790,0.000001
FILLER_63_488,VSS,Metal1,241.6860,256.5790,0.000001
FILLER_63_481,VSS,Metal1,238.3260,256.5790,0.000001
FILLER_63_474,VSS,Metal1,234.9660,256.5790,0.000001
FILLER_63_467,VSS,Metal1,231.6060,256.5790,0.000001
FILLER_63_460,VSS,Metal1,228.2460,256.5790,0.000001
FILLER_63_453,VSS,Metal1,224.8860,256.5790,0.000001
FILLER_63_446,VSS,Metal1,221.5260,256.5790,0.000001
FILLER_63_439,VSS,Metal1,218.1660,256.5790,0.000001
FILLER_63_432,VSS,Metal1,214.8060,256.5790,0.000001
FILLER_63_425,VSS,Metal1,211.4460,256.5790,0.000001
FILLER_63_418,VSS,Metal1,208.0860,256.5790,0.000001
FILLER_63_411,VSS,Metal1,204.7260,256.5790,0.000001
FILLER_63_404,VSS,Metal1,201.3660,256.5790,0.000001
FILLER_63_397,VSS,Metal1,198.0060,256.5790,0.000001
FILLER_63_390,VSS,Metal1,194.6460,256.5790,0.000001
FILLER_63_383,VSS,Metal1,191.2860,256.5790,0.000001
FILLER_63_376,VSS,Metal1,187.9260,256.5790,0.000001
FILLER_63_369,VSS,Metal1,184.5660,256.5790,0.000001
FILLER_63_362,VSS,Metal1,181.2060,256.5790,0.000001
FILLER_63_355,VSS,Metal1,177.8460,256.5790,0.000001
FILLER_63_348,VSS,Metal1,174.4860,256.5790,0.000002
FILLER_63_341,VSS,Metal1,171.1260,256.5790,0.000003
FILLER_63_336,VSS,Metal1,167.2800,257.0400,0.000006
FILLER_63_332,VSS,Metal1,166.0680,256.6630,0.000006
FILLER_63_325,VSS,Metal1,163.4460,256.5790,0.000007
FILLER_63_320,VSS,Metal1,159.6000,257.0400,0.000011
FILLER_63_318,VSS,Metal1,158.8800,257.0400,0.000011
FILLER_63_311,VSS,Metal1,156.7260,256.5790,0.000011
FILLER_63_306,VSS,Metal1,152.8800,257.0400,0.000014
FILLER_63_299,VSS,Metal1,150.9660,256.5790,0.000015
FILLER_63_293,VSS,Metal1,146.8800,257.0400,0.000018
FILLER_63_289,VSS,Metal1,145.4280,256.6630,0.000018
FILLER_63_284,VSS,Metal1,142.3200,257.0400,0.000022
FILLER_63_257,VSS,Metal1,130.8060,256.5790,0.000019
FILLER_63_243,VSS,Metal1,122.8800,257.0400,0.000010
FILLER_63_237,VSS,Metal1,120.0000,257.0400,0.000008
FILLER_63_230,VSS,Metal1,117.8460,256.5790,0.000007
FILLER_63_223,VSS,Metal1,114.4860,256.5790,0.000006
FILLER_63_216,VSS,Metal1,111.1260,256.5790,0.000005
FILLER_63_209,VSS,Metal1,107.7660,256.5790,0.000004
FILLER_63_201,VSS,Metal1,103.1880,256.6630,0.000002
FILLER_63_194,VSS,Metal1,100.5660,256.5790,0.000001
FILLER_63_187,VSS,Metal1,97.2060,256.5790,0.000001
FILLER_63_180,VSS,Metal1,93.8460,256.5790,0.000001
FILLER_63_173,VSS,Metal1,90.4860,256.5790,0.000001
FILLER_63_166,VSS,Metal1,87.1260,256.5790,0.000001
FILLER_63_159,VSS,Metal1,83.7660,256.5790,0.000001
FILLER_63_152,VSS,Metal1,80.4060,256.5790,0.000001
FILLER_63_145,VSS,Metal1,77.0460,256.5790,0.000001
FILLER_63_138,VSS,Metal1,73.6860,256.5790,0.000001
FILLER_63_131,VSS,Metal1,70.3260,256.5790,0.000001
FILLER_63_124,VSS,Metal1,66.9660,256.5790,0.000001
FILLER_63_117,VSS,Metal1,63.6060,256.5790,0.000001
FILLER_63_100,VSS,Metal1,54.0000,257.0400,0.000000
FILLER_63_98,VSS,Metal1,53.2800,257.0400,0.000000
FILLER_63_91,VSS,Metal1,51.1260,256.5790,0.000000
FILLER_63_86,VSS,Metal1,47.2800,257.0400,0.000000
FILLER_63_82,VSS,Metal1,46.0680,256.6630,0.000000
FILLER_63_75,VSS,Metal1,43.4460,256.5790,0.000000
FILLER_63_68,VSS,Metal1,40.0860,256.5790,0.000000
FILLER_63_61,VSS,Metal1,36.7260,256.5790,0.000000
FILLER_63_56,VSS,Metal1,32.8800,257.0400,0.000000
FILLER_63_49,VSS,Metal1,30.9660,256.5790,0.000000
FILLER_63_42,VSS,Metal1,27.6060,256.5790,0.000000
FILLER_63_35,VSS,Metal1,24.2460,256.5790,0.000000
FILLER_63_28,VSS,Metal1,20.8860,256.5790,0.000000
FILLER_63_21,VSS,Metal1,17.5260,256.5790,0.000000
FILLER_63_14,VSS,Metal1,14.1660,256.5790,0.000000
FILLER_63_7,VSS,Metal1,10.8060,256.5790,0.000000
FILLER_63_0,VSS,Metal1,7.4460,256.5790,0.000000
FILLER_62_505,VSS,Metal1,248.4000,249.4800,0.000011
FILLER_62_498,VSS,Metal1,246.4860,249.9400,0.000011
FILLER_62_491,VSS,Metal1,243.1260,249.9400,0.000011
FILLER_62_484,VSS,Metal1,239.7660,249.9400,0.000011
FILLER_62_477,VSS,Metal1,236.4060,249.9400,0.000011
FILLER_62_470,VSS,Metal1,233.0460,249.9400,0.000011
FILLER_62_463,VSS,Metal1,229.6860,249.9400,0.000011
FILLER_62_456,VSS,Metal1,226.3260,249.9400,0.000011
