2026-09-19 14:32:59 +0530: Memory Usage (421300K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/boot_spi/runs/run_6/58-klayout-streamout/boot_spi_macro.gds
2026-09-19 14:32:59 +0530: Memory Usage (421300K) : Ruby Version for klayout: 3.3.10
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : Loading database to memory is complete.
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/boot_spi/runs/run_6/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : Evaluate switches.
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : tables selected: main
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : deep mode is enabled.
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : FEOL enabled: true
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : BEOL enabled: true
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : OFFGRID enabled: true
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : ANGLE enabled: true
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : PIN enabled: true
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : FORBIDDEN enabled: true
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : RECOMMENDED enabled: false
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : PreCheck DRC enabled: false
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : CONNECTIVITY_RULES enabled: true.
2026-09-19 14:32:59 +0530: Memory Usage (423152K) : Read in polygons from layers.
2026-09-19 14:32:59 +0530: Memory Usage (424480K) : activ_drw has 21195 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424608K) : activ_pin has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424608K) : activ_mask has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424608K) : activ_filler has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : activ_nofill has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : activ_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : activ_iopc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : activ_noqrc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : biwind_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : biwind_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424864K) : pemwind_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424992K) : gatpoly_drw has 18243 polygons
2026-09-19 14:32:59 +0530: Memory Usage (424992K) : gatpoly_pin has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : gatpoly_filler has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : gatpoly_nofill has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : gatpoly_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : gatpoly_iopc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : gatpoly_noqrc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : cont_drw has 150883 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : cont_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : nsd_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425120K) : nsd_block has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425252K) : metal1_drw has 29887 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425252K) : metal1_pin has 13588 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425252K) : metal1_mask has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425252K) : metal1_filler has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425252K) : metal1_nofill has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425380K) : metal1_slit has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425512K) : metal1_text has 13430 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425512K) : metal1_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425512K) : metal1_noqrc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425512K) : metal1_res has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425640K) : metal1_iprobe has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425640K) : metal1_diffprb has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425640K) : passiv_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425768K) : passiv_pin has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425768K) : passiv_sbump has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425768K) : passiv_pillar has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (425896K) : passiv_pdl has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_drw has 11679 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_pin has 32 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_mask has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_filler has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_nofill has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_slit has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_text has 32 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_noqrc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_res has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_iprobe has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : metal2_diffprb has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : baspoly_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : baspoly_pin has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : psd_drw has 10072 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : nldb_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : digibnd_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : via1_drw has 4598 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426024K) : backmetal1_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426152K) : backmetal1_pin has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426152K) : backmetal1_mask has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426280K) : backmetal1_filler has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426280K) : backmetal1_nofill has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426408K) : backmetal1_slit has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426408K) : backmetal1_text has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426536K) : backmetal1_opc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426536K) : backmetal1_noqrc has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426664K) : backmetal1_res has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426664K) : backmetal1_iprobe has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426664K) : backmetal1_diffprb has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426792K) : backpassiv_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426792K) : res_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426920K) : sram_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (426920K) : trans_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (427048K) : ind_drw has 0 polygons
2026-09-19 14:32:59 +0530: Memory Usage (427048K) : ind_pin has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427176K) : ind_text has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427176K) : salblock_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427304K) : via2_drw has 3667 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427304K) : metal3_drw has 4882 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427432K) : metal3_pin has 41 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427432K) : metal3_mask has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427432K) : metal3_filler has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427560K) : metal3_nofill has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427560K) : metal3_slit has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427688K) : metal3_text has 41 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427688K) : metal3_opc has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427816K) : metal3_noqrc has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427816K) : metal3_res has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427944K) : metal3_iprobe has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (427944K) : metal3_diffprb has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428072K) : nwell_drw has 5014 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428072K) : nwell_pin has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428072K) : nbulay_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428200K) : nbulay_pin has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428200K) : nbulay_block has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428328K) : emwind_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428328K) : emwind_opc has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428456K) : deepco_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428456K) : deepco_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428456K) : mim_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428584K) : edgeseal_drw has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428584K) : edgeseal_bound has 0 polygons
2026-09-19 14:33:00 +0530: Memory Usage (428712K) : substrate_drw has 0 polygons
