Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_333,VDD,Metal1,166.0800,177.6600,1.199982
FILLER_42_322,VDD,Metal1,160.8000,177.6600,1.199970
FILLER_42_236,VDD,Metal1,119.2800,177.6600,1.199933
FILLER_42_234,VDD,Metal1,118.5600,177.6600,1.199933
FILLER_42_173,VDD,Metal1,89.0400,177.6600,1.199953
FILLER_42_171,VDD,Metal1,88.3200,177.6600,1.199953
FILLER_42_127,VDD,Metal1,67.2000,177.6600,1.199897
FILLER_42_107,VDD,Metal1,57.6000,177.6600,1.199896
FILLER_42_83,VDD,Metal1,46.0800,177.6600,1.199907
FILLER_42_11,VDD,Metal1,11.2800,177.6600,1.199983
FILLER_42_0,VDD,Metal1,6.2400,177.6600,1.199983
FILLER_41_325,VDD,Metal1,162.0000,170.1000,1.199691
FILLER_41_315,VDD,Metal1,157.2000,170.1000,1.199641
FILLER_41_253,VDD,Metal1,127.4400,170.1000,1.199428
FILLER_41_251,VDD,Metal1,126.7200,170.1000,1.199428
FILLER_41_185,VDD,Metal1,95.0400,170.1000,1.199977
FILLER_41_179,VDD,Metal1,92.1600,170.1000,1.199976
FILLER_41_162,VDD,Metal1,83.7600,170.1000,1.199843
FILLER_41_160,VDD,Metal1,83.0400,170.1000,1.199841
FILLER_41_155,VDD,Metal1,80.4000,170.1000,1.199793
FILLER_41_121,VDD,Metal1,64.3200,170.1000,1.199521
FILLER_41_11,VDD,Metal1,11.2800,170.1000,1.199922
FILLER_41_9,VDD,Metal1,10.5600,170.1000,1.199922
FILLER_40_330,VDD,Metal1,164.4000,170.1000,1.199816
FILLER_40_306,VDD,Metal1,152.8800,170.1000,1.199580
FILLER_40_285,VDD,Metal1,142.8000,170.1000,1.199476
FILLER_40_235,VDD,Metal1,119.0400,170.1000,1.199455
FILLER_40_230,VDD,Metal1,116.4000,170.1000,1.199492
FILLER_40_225,VDD,Metal1,114.0000,170.1000,1.199505
FILLER_40_211,VDD,Metal1,107.5200,170.1000,1.199573
FILLER_40_190,VDD,Metal1,97.2000,170.1000,1.199925
FILLER_40_186,VDD,Metal1,96.0110,169.5030,1.199972
FILLER_40_179,VDD,Metal1,93.3690,169.5010,1.199976
FILLER_40_174,VDD,Metal1,89.5200,170.1000,1.199926
FILLER_40_172,VDD,Metal1,88.8000,170.1000,1.199924
FILLER_40_163,VDD,Metal1,84.4800,170.1000,1.199843
FILLER_40_130,VDD,Metal1,68.4000,170.1000,1.199536
FILLER_40_97,VDD,Metal1,52.5600,170.1000,1.199539
FILLER_40_24,VDD,Metal1,17.5200,170.1000,1.199956
FILLER_40_22,VDD,Metal1,16.8000,170.1000,1.199956
FILLER_40_8,VDD,Metal1,10.0800,170.1000,1.199922
FILLER_39_338,VDD,Metal1,168.4800,162.5400,1.199843
FILLER_39_313,VDD,Metal1,156.2400,162.5400,1.199514
FILLER_39_291,VDD,Metal1,145.9200,162.5400,1.198882
FILLER_39_273,VDD,Metal1,137.2800,162.5400,1.198799
FILLER_39_243,VDD,Metal1,122.8800,162.5400,1.198823
FILLER_39_238,VDD,Metal1,120.2400,162.5400,1.198851
FILLER_39_236,VDD,Metal1,119.5200,162.5400,1.198851
FILLER_39_227,VDD,Metal1,114.9600,162.5400,1.198872
FILLER_39_215,VDD,Metal1,109.9310,163.1360,1.198954
FILLER_39_208,VDD,Metal1,107.2890,163.1380,1.199194
FILLER_39_201,VDD,Metal1,103.9290,163.1380,1.199969
FILLER_39_194,VDD,Metal1,100.5690,163.1380,1.199987
FILLER_39_188,VDD,Metal1,96.2400,162.5400,1.199990
FILLER_39_184,VDD,Metal1,95.0510,163.1360,1.199990
FILLER_39_176,VDD,Metal1,91.2110,163.1360,1.199950
FILLER_39_170,VDD,Metal1,87.6000,162.5400,1.199805
