Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_333,VSS,Metal1,166.0800,173.8800,0.000685
FILLER_42_322,VSS,Metal1,160.8000,173.8800,0.000679
FILLER_42_236,VSS,Metal1,119.2800,173.8800,0.000310
FILLER_42_234,VSS,Metal1,118.5600,173.8800,0.000310
FILLER_42_173,VSS,Metal1,89.0400,173.8800,0.000238
FILLER_42_171,VSS,Metal1,88.3200,173.8800,0.000256
FILLER_42_127,VSS,Metal1,67.2000,173.8800,0.000360
FILLER_42_107,VSS,Metal1,57.6000,173.8800,0.000361
FILLER_42_83,VSS,Metal1,46.0800,173.8800,0.000321
FILLER_42_11,VSS,Metal1,11.2800,173.8800,0.000107
FILLER_42_0,VSS,Metal1,6.2400,173.8800,0.000107
FILLER_41_325,VSS,Metal1,162.0000,173.8800,0.000679
FILLER_41_315,VSS,Metal1,157.2000,173.8800,0.000668
FILLER_41_253,VSS,Metal1,127.4400,173.8800,0.000428
FILLER_41_251,VSS,Metal1,126.7200,173.8800,0.000426
FILLER_41_185,VSS,Metal1,95.0400,173.8800,0.000191
FILLER_41_179,VSS,Metal1,92.1600,173.8800,0.000210
FILLER_41_162,VSS,Metal1,83.7600,173.8800,0.000303
FILLER_41_160,VSS,Metal1,83.0400,173.8800,0.000303
FILLER_41_155,VSS,Metal1,80.4000,173.8800,0.000323
FILLER_41_121,VSS,Metal1,64.3200,173.8800,0.000368
FILLER_41_11,VSS,Metal1,11.2800,173.8800,0.000107
FILLER_41_9,VSS,Metal1,10.5600,173.8800,0.000107
FILLER_40_330,VSS,Metal1,164.4000,166.3200,0.002280
FILLER_40_306,VSS,Metal1,152.8800,166.3200,0.002196
FILLER_40_285,VSS,Metal1,142.8000,166.3200,0.002090
FILLER_40_235,VSS,Metal1,119.0400,166.3200,0.001406
FILLER_40_230,VSS,Metal1,116.4000,166.3200,0.001352
FILLER_40_225,VSS,Metal1,114.0000,166.3200,0.001285
FILLER_40_211,VSS,Metal1,107.5200,166.3200,0.000921
FILLER_40_190,VSS,Metal1,97.2000,166.3200,0.000079
FILLER_40_186,VSS,Metal1,95.9880,166.6960,0.000086
FILLER_40_179,VSS,Metal1,93.3660,166.7800,0.000086
FILLER_40_174,VSS,Metal1,89.5200,166.3200,0.000155
FILLER_40_172,VSS,Metal1,88.8000,166.3200,0.000155
FILLER_40_163,VSS,Metal1,84.4800,166.3200,0.000172
FILLER_40_130,VSS,Metal1,68.4000,166.3200,0.000475
FILLER_40_97,VSS,Metal1,52.5600,166.3200,0.000475
FILLER_40_24,VSS,Metal1,17.5200,166.3200,0.000088
FILLER_40_22,VSS,Metal1,16.8000,166.3200,0.000101
FILLER_40_8,VSS,Metal1,10.0800,166.3200,0.000126
FILLER_39_338,VSS,Metal1,168.4800,166.3200,0.002287
FILLER_39_313,VSS,Metal1,156.2400,166.3200,0.002222
FILLER_39_291,VSS,Metal1,145.9200,166.3200,0.002131
FILLER_39_273,VSS,Metal1,137.2800,166.3200,0.001977
FILLER_39_243,VSS,Metal1,122.8800,166.3200,0.001531
FILLER_39_238,VSS,Metal1,120.2400,166.3200,0.001406
FILLER_39_236,VSS,Metal1,119.5200,166.3200,0.001406
FILLER_39_227,VSS,Metal1,114.9600,166.3200,0.001285
FILLER_39_215,VSS,Metal1,109.9080,165.9430,0.001187
FILLER_39_208,VSS,Metal1,107.2860,165.8590,0.000921
FILLER_39_201,VSS,Metal1,103.9260,165.8590,0.000830
FILLER_39_194,VSS,Metal1,100.5660,165.8590,0.000057
FILLER_39_188,VSS,Metal1,96.2400,166.3200,0.000086
FILLER_39_184,VSS,Metal1,95.0280,165.9430,0.000086
FILLER_39_176,VSS,Metal1,91.1880,165.9430,0.000113
FILLER_39_170,VSS,Metal1,87.6000,166.3200,0.000165
FILLER_39_163,VSS,Metal1,85.6860,165.8590,0.000172
FILLER_39_156,VSS,Metal1,82.3260,165.8590,0.000182
FILLER_39_149,VSS,Metal1,78.9660,165.8590,0.000199
FILLER_39_144,VSS,Metal1,75.3600,166.3200,0.000428
FILLER_39_140,VSS,Metal1,73.9080,165.9430,0.000433
FILLER_39_131,VSS,Metal1,68.8800,166.3200,0.000475
FILLER_39_129,VSS,Metal1,68.1600,166.3200,0.000475
FILLER_39_108,VSS,Metal1,57.8400,166.3200,0.000490
FILLER_39_95,VSS,Metal1,51.6000,166.3200,0.000475
