2026-09-17 21:44:36 +0530: Memory Usage (422776K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/peripherals/runs/run_1/58-klayout-streamout/peripherals_macro.gds
2026-09-17 21:44:36 +0530: Memory Usage (422936K) : Ruby Version for klayout: 3.3.10
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : Loading database to memory is complete.
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/peripherals/runs/run_1/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : Evaluate switches.
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : tables selected: main
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : deep mode is enabled.
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : FEOL enabled: true
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : BEOL enabled: true
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : OFFGRID enabled: true
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : ANGLE enabled: true
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : PIN enabled: true
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : FORBIDDEN enabled: true
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : RECOMMENDED enabled: false
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : PreCheck DRC enabled: false
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : CONNECTIVITY_RULES enabled: true.
2026-09-17 21:44:36 +0530: Memory Usage (424192K) : Read in polygons from layers.
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_drw has 10955 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_pin has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_mask has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_filler has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_nofill has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_opc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_iopc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425264K) : activ_noqrc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : biwind_drw has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : biwind_opc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : pemwind_drw has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : gatpoly_drw has 9503 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : gatpoly_pin has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : gatpoly_filler has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : gatpoly_nofill has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425392K) : gatpoly_opc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425520K) : gatpoly_iopc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425520K) : gatpoly_noqrc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425648K) : cont_drw has 73332 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425648K) : cont_opc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425648K) : nsd_drw has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425648K) : nsd_block has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425908K) : metal1_drw has 18054 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425908K) : metal1_pin has 8377 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425908K) : metal1_mask has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425908K) : metal1_filler has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (425908K) : metal1_nofill has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426036K) : metal1_slit has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426168K) : metal1_text has 8102 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426296K) : metal1_opc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426296K) : metal1_noqrc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426296K) : metal1_res has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426424K) : metal1_iprobe has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426424K) : metal1_diffprb has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426552K) : passiv_drw has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426552K) : passiv_pin has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426680K) : passiv_sbump has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426680K) : passiv_pillar has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : passiv_pdl has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_drw has 11721 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_pin has 172 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_mask has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_filler has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_nofill has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_slit has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_text has 172 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426808K) : metal2_opc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426936K) : metal2_noqrc has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (426936K) : metal2_res has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427064K) : metal2_iprobe has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427064K) : metal2_diffprb has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427192K) : baspoly_drw has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427192K) : baspoly_pin has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427320K) : psd_drw has 5129 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427320K) : nldb_drw has 0 polygons
2026-09-17 21:44:36 +0530: Memory Usage (427320K) : digibnd_drw has 0 polygons
