Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_334,VDD,Metal1,166.3200,177.6600,1.199973
FILLER_43_332,VDD,Metal1,165.6000,177.6600,1.199972
FILLER_43_325,VDD,Metal1,163.4490,178.2580,1.199971
FILLER_43_318,VDD,Metal1,160.0890,178.2580,1.199971
FILLER_43_311,VDD,Metal1,156.7290,178.2580,1.199970
FILLER_43_304,VDD,Metal1,153.3690,178.2580,1.199970
FILLER_43_297,VDD,Metal1,150.0090,178.2580,1.199968
FILLER_43_56,VDD,Metal1,32.8800,177.6600,1.199981
FILLER_43_49,VDD,Metal1,30.9690,178.2580,1.199984
FILLER_43_42,VDD,Metal1,27.6090,178.2580,1.199987
FILLER_43_35,VDD,Metal1,24.2490,178.2580,1.199990
FILLER_43_28,VDD,Metal1,20.8890,178.2580,1.199993
FILLER_43_21,VDD,Metal1,17.5290,178.2580,1.199995
FILLER_43_14,VDD,Metal1,14.1690,178.2580,1.199995
FILLER_43_7,VDD,Metal1,10.8090,178.2580,1.199995
FILLER_43_0,VDD,Metal1,7.4490,178.2580,1.199995
FILLER_42_321,VDD,Metal1,160.0800,177.6600,1.199971
FILLER_42_308,VDD,Metal1,154.5710,177.0630,1.199970
FILLER_42_301,VDD,Metal1,151.9290,177.0610,1.199970
FILLER_42_294,VDD,Metal1,148.5690,177.0610,1.199968
FILLER_42_287,VDD,Metal1,145.2090,177.0610,1.199968
FILLER_42_261,VDD,Metal1,131.2800,177.6600,1.199871
FILLER_42_259,VDD,Metal1,130.5600,177.6600,1.199871
FILLER_42_253,VDD,Metal1,127.4400,177.6600,1.199876
FILLER_42_234,VDD,Metal1,118.5600,177.6600,1.199887
FILLER_42_229,VDD,Metal1,115.9200,177.6600,1.199893
FILLER_42_192,VDD,Metal1,98.1600,177.6600,1.199969
FILLER_42_188,VDD,Metal1,96.9710,177.0630,1.199981
FILLER_42_181,VDD,Metal1,94.3290,177.0610,1.199993
FILLER_42_124,VDD,Metal1,65.5200,177.6600,1.199752
FILLER_42_116,VDD,Metal1,61.9200,177.6600,1.199752
FILLER_42_78,VDD,Metal1,43.4400,177.6600,1.199803
FILLER_42_63,VDD,Metal1,36.9710,177.0630,1.199870
FILLER_42_56,VDD,Metal1,34.3290,177.0610,1.199981
FILLER_42_49,VDD,Metal1,30.9690,177.0610,1.199984
FILLER_42_42,VDD,Metal1,27.6090,177.0610,1.199987
FILLER_42_35,VDD,Metal1,24.2490,177.0610,1.199990
FILLER_42_28,VDD,Metal1,20.8890,177.0610,1.199993
FILLER_42_21,VDD,Metal1,17.5290,177.0610,1.199995
FILLER_42_14,VDD,Metal1,14.1690,177.0610,1.199995
FILLER_42_7,VDD,Metal1,10.8090,177.0610,1.199995
FILLER_42_0,VDD,Metal1,7.4490,177.0610,1.199995
FILLER_41_346,VDD,Metal1,172.0800,170.1000,1.199971
FILLER_41_344,VDD,Metal1,171.3600,170.1000,1.199971
FILLER_41_306,VDD,Metal1,152.8800,170.1000,1.199942
FILLER_41_304,VDD,Metal1,152.1600,170.1000,1.199942
FILLER_41_297,VDD,Metal1,150.0090,170.6980,1.199942
FILLER_41_290,VDD,Metal1,146.6490,170.6980,1.199942
FILLER_41_284,VDD,Metal1,142.3200,170.1000,1.199861
FILLER_41_252,VDD,Metal1,126.9600,170.1000,1.199908
FILLER_41_218,VDD,Metal1,112.0890,170.6980,1.199950
FILLER_41_190,VDD,Metal1,97.9310,170.6960,1.199973
FILLER_41_164,VDD,Metal1,84.9600,170.1000,1.199536
FILLER_41_160,VDD,Metal1,83.5310,170.6960,1.199536
FILLER_41_146,VDD,Metal1,76.3200,170.1000,1.199503
FILLER_41_134,VDD,Metal1,70.3200,170.1000,1.199503
FILLER_41_95,VDD,Metal1,51.8400,170.1000,1.199557
FILLER_41_81,VDD,Metal1,45.1200,170.1000,1.199572
FILLER_41_46,VDD,Metal1,28.3200,170.1000,1.199792
FILLER_41_42,VDD,Metal1,26.8910,170.6960,1.199792
FILLER_41_35,VDD,Metal1,24.2490,170.6980,1.199961
FILLER_41_28,VDD,Metal1,20.8890,170.6980,1.199973
FILLER_41_21,VDD,Metal1,17.5290,170.6980,1.199983
FILLER_41_14,VDD,Metal1,14.1690,170.6980,1.199983
FILLER_41_7,VDD,Metal1,10.8090,170.6980,1.199983
FILLER_41_0,VDD,Metal1,7.4490,170.6980,1.199983
FILLER_40_345,VDD,Metal1,171.8400,170.1000,1.199971
FILLER_40_317,VDD,Metal1,158.1600,170.1000,1.199968
FILLER_40_245,VDD,Metal1,124.3310,169.5030,1.199919
FILLER_40_238,VDD,Metal1,120.2400,170.1000,1.199919
FILLER_40_234,VDD,Metal1,119.0510,169.5030,1.199919
FILLER_40_228,VDD,Metal1,115.4400,170.1000,1.199949
FILLER_40_221,VDD,Metal1,113.5290,169.5010,1.199950
FILLER_40_215,VDD,Metal1,109.2000,170.1000,1.199965
FILLER_40_213,VDD,Metal1,108.4800,170.1000,1.199965
FILLER_40_196,VDD,Metal1,100.3200,170.1000,1.199972
FILLER_40_192,VDD,Metal1,98.8910,169.5030,1.199973
FILLER_40_185,VDD,Metal1,96.2490,169.5010,1.199974
FILLER_40_178,VDD,Metal1,92.8890,169.5010,1.199974
FILLER_40_171,VDD,Metal1,89.5290,169.5010,1.199575
FILLER_40_166,VDD,Metal1,85.6800,170.1000,1.199538
FILLER_40_159,VDD,Metal1,83.7690,169.5010,1.199536
FILLER_40_153,VDD,Metal1,79.4400,170.1000,1.199507
FILLER_40_149,VDD,Metal1,78.2510,169.5030,1.199507
FILLER_40_143,VDD,Metal1,74.6400,170.1000,1.199503
FILLER_40_141,VDD,Metal1,73.9200,170.1000,1.199503
FILLER_40_134,VDD,Metal1,71.7690,169.5010,1.199503
FILLER_40_127,VDD,Metal1,68.4090,169.5010,1.199502
FILLER_40_109,VDD,Metal1,58.5600,170.1000,1.199501
FILLER_40_105,VDD,Metal1,57.1310,169.5030,1.199501
FILLER_40_98,VDD,Metal1,54.4890,169.5010,1.199521
FILLER_40_91,VDD,Metal1,51.1290,169.5010,1.199557
FILLER_40_83,VDD,Metal1,46.0800,170.1000,1.199559
FILLER_40_66,VDD,Metal1,37.6800,170.1000,1.199574
FILLER_40_64,VDD,Metal1,36.9600,170.1000,1.199574
FILLER_40_57,VDD,Metal1,34.8090,169.5010,1.199574
FILLER_40_49,VDD,Metal1,30.2510,169.5030,1.199574
FILLER_40_42,VDD,Metal1,27.6090,169.5010,1.199792
FILLER_40_35,VDD,Metal1,24.2490,169.5010,1.199961
FILLER_40_28,VDD,Metal1,20.8890,169.5010,1.199973
FILLER_40_21,VDD,Metal1,17.5290,169.5010,1.199983
FILLER_40_14,VDD,Metal1,14.1690,169.5010,1.199983
FILLER_40_7,VDD,Metal1,10.8090,169.5010,1.199983
FILLER_40_0,VDD,Metal1,7.4490,169.5010,1.199983
FILLER_39_331,VDD,Metal1,165.6110,163.1360,1.199876
FILLER_39_317,VDD,Metal1,158.1600,162.5400,1.199857
FILLER_39_308,VDD,Metal1,154.5710,163.1360,1.199845
FILLER_39_301,VDD,Metal1,151.9290,163.1380,1.199843
FILLER_39_291,VDD,Metal1,145.6800,162.5400,1.199841
FILLER_39_284,VDD,Metal1,142.5600,162.5400,1.199839
FILLER_39_277,VDD,Metal1,140.4090,163.1380,1.199831
FILLER_39_270,VDD,Metal1,135.8400,162.5400,1.199831
FILLER_39_259,VDD,Metal1,130.3200,162.5400,1.199830
FILLER_39_252,VDD,Metal1,128.4090,163.1380,1.199829
FILLER_39_245,VDD,Metal1,125.0490,163.1380,1.199828
FILLER_39_238,VDD,Metal1,121.6890,163.1380,1.199827
FILLER_39_231,VDD,Metal1,118.3290,163.1380,1.199826
FILLER_39_224,VDD,Metal1,114.9690,163.1380,1.199826
FILLER_39_196,VDD,Metal1,100.0800,162.5400,1.199909
FILLER_39_192,VDD,Metal1,98.8910,163.1360,1.199909
FILLER_39_185,VDD,Metal1,96.2490,163.1380,1.199978
FILLER_39_178,VDD,Metal1,92.8890,163.1380,1.199792
FILLER_39_146,VDD,Metal1,76.0800,162.5400,1.199789
FILLER_39_139,VDD,Metal1,74.1690,163.1380,1.199789
FILLER_39_132,VDD,Metal1,70.8090,163.1380,1.199789
FILLER_39_123,VDD,Metal1,65.0400,162.5400,1.199798
FILLER_39_117,VDD,Metal1,62.1600,162.5400,1.199804
FILLER_39_110,VDD,Metal1,60.2490,163.1380,1.199866
FILLER_39_103,VDD,Metal1,56.8890,163.1380,1.199874
FILLER_39_96,VDD,Metal1,53.5290,163.1380,1.199876
FILLER_39_89,VDD,Metal1,50.1690,163.1380,1.199886
FILLER_39_82,VDD,Metal1,46.8090,163.1380,1.199895
FILLER_39_75,VDD,Metal1,43.4490,163.1380,1.199905
FILLER_39_63,VDD,Metal1,37.6890,163.1380,1.199928
FILLER_39_56,VDD,Metal1,34.3290,163.1380,1.199931
FILLER_39_49,VDD,Metal1,30.9690,163.1380,1.199934
FILLER_39_42,VDD,Metal1,27.6090,163.1380,1.199987
FILLER_39_35,VDD,Metal1,24.2490,163.1380,1.199990
FILLER_39_28,VDD,Metal1,20.8890,163.1380,1.199993
FILLER_39_21,VDD,Metal1,17.5290,163.1380,1.199996
FILLER_39_14,VDD,Metal1,14.1690,163.1380,1.199996
FILLER_39_7,VDD,Metal1,10.8090,163.1380,1.199996
FILLER_39_0,VDD,Metal1,7.4490,163.1380,1.199996
FILLER_38_337,VDD,Metal1,168.0000,162.5400,1.199977
FILLER_38_330,VDD,Metal1,165.8490,161.9410,1.199876
FILLER_38_323,VDD,Metal1,162.4890,161.9410,1.199858
FILLER_38_316,VDD,Metal1,159.1290,161.9410,1.199857
FILLER_38_309,VDD,Metal1,155.7690,161.9410,1.199845
FILLER_38_302,VDD,Metal1,152.4090,161.9410,1.199845
FILLER_38_295,VDD,Metal1,149.0490,161.9410,1.199843
FILLER_38_288,VDD,Metal1,145.6890,161.9410,1.199841
FILLER_38_281,VDD,Metal1,142.3290,161.9410,1.199839
FILLER_38_274,VDD,Metal1,138.9690,161.9410,1.199831
FILLER_38_267,VDD,Metal1,135.6090,161.9410,1.199831
FILLER_38_260,VDD,Metal1,132.2490,161.9410,1.199831
FILLER_38_253,VDD,Metal1,128.8890,161.9410,1.199830
FILLER_38_246,VDD,Metal1,125.5290,161.9410,1.199829
FILLER_38_239,VDD,Metal1,122.1690,161.9410,1.199828
FILLER_38_232,VDD,Metal1,118.8090,161.9410,1.199827
FILLER_38_221,VDD,Metal1,112.3200,162.5400,1.199822
FILLER_38_214,VDD,Metal1,110.1690,161.9410,1.199822
FILLER_38_205,VDD,Metal1,105.1310,161.9430,1.199822
FILLER_38_198,VDD,Metal1,102.4890,161.9410,1.199822
FILLER_38_190,VDD,Metal1,97.4400,162.5400,1.199978
FILLER_38_186,VDD,Metal1,96.0110,161.9430,1.199978
FILLER_38_179,VDD,Metal1,91.9200,162.5400,1.199794
FILLER_38_175,VDD,Metal1,90.7310,161.9430,1.199791
FILLER_38_168,VDD,Metal1,88.0890,161.9410,1.199791
FILLER_38_155,VDD,Metal1,80.6400,162.5400,1.199789
FILLER_38_117,VDD,Metal1,62.1600,162.5400,1.199804
FILLER_38_113,VDD,Metal1,60.9710,161.9430,1.199866
FILLER_38_106,VDD,Metal1,58.3290,161.9410,1.199874
FILLER_38_101,VDD,Metal1,54.4800,162.5400,1.199876
FILLER_38_99,VDD,Metal1,53.7600,162.5400,1.199876
FILLER_38_92,VDD,Metal1,51.6090,161.9410,1.199886
FILLER_38_85,VDD,Metal1,48.2490,161.9410,1.199895
FILLER_38_78,VDD,Metal1,44.8890,161.9410,1.199905
FILLER_38_56,VDD,Metal1,33.1200,162.5400,1.199931
FILLER_38_49,VDD,Metal1,30.9690,161.9410,1.199934
FILLER_38_44,VDD,Metal1,27.1200,162.5400,1.199987
FILLER_38_42,VDD,Metal1,26.4000,162.5400,1.199987
FILLER_38_35,VDD,Metal1,24.2490,161.9410,1.199990
FILLER_38_28,VDD,Metal1,20.8890,161.9410,1.199993
FILLER_38_21,VDD,Metal1,17.5290,161.9410,1.199996
FILLER_38_14,VDD,Metal1,14.1690,161.9410,1.199996
FILLER_38_7,VDD,Metal1,10.8090,161.9410,1.199996
FILLER_38_0,VDD,Metal1,7.4490,161.9410,1.199996
FILLER_37_338,VDD,Metal1,168.2400,154.9800,1.199889
FILLER_37_331,VDD,Metal1,166.3290,155.5780,1.199889
FILLER_37_320,VDD,Metal1,159.8400,154.9800,1.199889
FILLER_37_316,VDD,Metal1,158.4110,155.5760,1.199884
FILLER_37_310,VDD,Metal1,154.8000,154.9800,1.199612
FILLER_37_306,VDD,Metal1,153.6110,155.5760,1.199603
FILLER_37_299,VDD,Metal1,150.9690,155.5780,1.199574
FILLER_37_292,VDD,Metal1,147.6090,155.5780,1.199567
FILLER_37_285,VDD,Metal1,144.2490,155.5780,1.199478
FILLER_37_278,VDD,Metal1,140.8890,155.5780,1.199470
FILLER_37_272,VDD,Metal1,136.5600,154.9800,1.199470
FILLER_37_267,VDD,Metal1,134.1600,154.9800,1.199470
FILLER_37_256,VDD,Metal1,128.8800,154.9800,1.199434
FILLER_37_252,VDD,Metal1,127.6910,155.5760,1.199434
