Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_330,VSS,Metal1,164.4000,181.4400,0.000500
FILLER_43_326,VSS,Metal1,163.1880,181.0630,0.000499
FILLER_43_316,VSS,Metal1,157.6800,181.4400,0.000489
FILLER_43_309,VSS,Metal1,155.7660,180.9790,0.000487
FILLER_43_302,VSS,Metal1,152.4060,180.9790,0.000483
FILLER_43_229,VSS,Metal1,115.9200,181.4400,0.000205
FILLER_43_156,VSS,Metal1,80.8800,181.4400,0.000082
FILLER_43_23,VSS,Metal1,17.0400,181.4400,0.000009
FILLER_43_21,VSS,Metal1,16.3200,181.4400,0.000009
FILLER_43_14,VSS,Metal1,14.1660,180.9790,0.000009
FILLER_43_7,VSS,Metal1,10.8060,180.9790,0.000009
FILLER_43_0,VSS,Metal1,7.4460,180.9790,0.000009
FILLER_42_301,VSS,Metal1,151.9260,174.3400,0.000654
FILLER_42_294,VSS,Metal1,148.5660,174.3400,0.000653
FILLER_42_249,VSS,Metal1,125.7600,173.8800,0.000533
FILLER_42_205,VSS,Metal1,104.4000,173.8800,0.000326
FILLER_42_192,VSS,Metal1,98.1600,173.8800,0.000074
FILLER_42_185,VSS,Metal1,96.2460,174.3400,0.000124
FILLER_42_148,VSS,Metal1,77.0400,173.8800,0.000421
FILLER_42_146,VSS,Metal1,76.3200,173.8800,0.000439
FILLER_42_28,VSS,Metal1,19.6800,173.8800,0.000017
FILLER_42_21,VSS,Metal1,17.5260,174.3400,0.000017
FILLER_42_14,VSS,Metal1,14.1660,174.3400,0.000017
FILLER_42_7,VSS,Metal1,10.8060,174.3400,0.000017
FILLER_42_0,VSS,Metal1,7.4460,174.3400,0.000017
FILLER_41_346,VSS,Metal1,172.0800,173.8800,0.000979
FILLER_41_344,VSS,Metal1,171.3600,173.8800,0.000979
FILLER_41_306,VSS,Metal1,152.8800,173.8800,0.000654
FILLER_41_304,VSS,Metal1,152.1600,173.8800,0.000654
FILLER_41_297,VSS,Metal1,150.0060,173.4190,0.000654
FILLER_41_290,VSS,Metal1,146.6460,173.4190,0.000653
FILLER_41_284,VSS,Metal1,142.3200,173.8800,0.000628
FILLER_41_252,VSS,Metal1,126.9600,173.8800,0.000565
FILLER_41_221,VSS,Metal1,112.7880,173.5030,0.000466
FILLER_41_193,VSS,Metal1,98.6400,173.8800,0.000074
FILLER_41_146,VSS,Metal1,76.3200,173.8800,0.000439
FILLER_41_39,VSS,Metal1,24.7200,173.8800,0.000016
FILLER_41_35,VSS,Metal1,23.5080,173.5030,0.000016
FILLER_41_28,VSS,Metal1,20.8860,173.4190,0.000017
FILLER_41_21,VSS,Metal1,17.5260,173.4190,0.000017
FILLER_41_14,VSS,Metal1,14.1660,173.4190,0.000017
FILLER_41_7,VSS,Metal1,10.8060,173.4190,0.000017
FILLER_41_0,VSS,Metal1,7.4460,173.4190,0.000017
FILLER_40_345,VSS,Metal1,171.8400,166.3200,0.002209
FILLER_40_317,VSS,Metal1,158.1600,166.3200,0.002172
FILLER_40_245,VSS,Metal1,124.3080,166.6960,0.001977
FILLER_40_238,VSS,Metal1,120.2400,166.3200,0.001216
FILLER_40_234,VSS,Metal1,119.0280,166.6960,0.000907
FILLER_40_228,VSS,Metal1,115.4400,166.3200,0.000905
FILLER_40_226,VSS,Metal1,114.7200,166.3200,0.000905
FILLER_40_196,VSS,Metal1,100.0800,166.3200,0.000074
FILLER_40_192,VSS,Metal1,98.8680,166.6960,0.000075
FILLER_40_185,VSS,Metal1,96.2460,166.7800,0.000083
FILLER_40_178,VSS,Metal1,92.8860,166.7800,0.000092
FILLER_40_171,VSS,Metal1,89.5260,166.7800,0.000110
FILLER_40_42,VSS,Metal1,26.4000,166.3200,0.000008
FILLER_40_35,VSS,Metal1,24.2460,166.7800,0.000005
FILLER_40_28,VSS,Metal1,20.8860,166.7800,0.000005
FILLER_40_21,VSS,Metal1,17.5260,166.7800,0.000005
FILLER_40_14,VSS,Metal1,14.1660,166.7800,0.000005
FILLER_40_7,VSS,Metal1,10.8060,166.7800,0.000005
FILLER_40_0,VSS,Metal1,7.4460,166.7800,0.000005
FILLER_39_331,VSS,Metal1,165.5880,165.9430,0.002208
FILLER_39_317,VSS,Metal1,158.1600,166.3200,0.002172
FILLER_39_308,VSS,Metal1,154.5480,165.9430,0.002167
FILLER_39_301,VSS,Metal1,151.9260,165.8590,0.002167
FILLER_39_291,VSS,Metal1,145.6800,166.3200,0.002134
FILLER_39_284,VSS,Metal1,142.5600,166.3200,0.002131
FILLER_39_277,VSS,Metal1,140.4060,165.8590,0.002130
FILLER_39_270,VSS,Metal1,135.8400,166.3200,0.002130
FILLER_39_259,VSS,Metal1,130.3200,166.3200,0.002103
FILLER_39_252,VSS,Metal1,128.4060,165.8590,0.002103
FILLER_39_245,VSS,Metal1,125.0460,165.8590,0.001977
