net,length_um
clknet_0_clk_i,1.58036mm
net577,920.42µm
net754,874.88µm
net55,853.695µm
net56,836.765µm
net1272,825.39µm
net57,823.74µm
net58,808.57µm
net62,795.035µm
net60,789.52µm
net392,785.415µm
net508,769.77µm
net291,769.225µm
net61,760.84µm
net463,757.49µm
net346,742.175µm
net335,727.76µm
net850,727.65µm
net514,726.605µm
net506,725.695µm
net1287,721.17µm
net341,716.14µm
_00004_,708.595µm
net1289,708.31µm
net298,707.695µm
net1071,706.735µm
net1328,705.835µm
net865,704.56µm
net522,703.955µm
net379,703.495µm
net494,695.925µm
net752,692.285µm
net59,680.785µm
net278,680.5µm
net280,679.52µm
net466,676.47µm
net464,675.45µm
net1300,672.32µm
net1507,670.1µm
net289,670.095µm
net1,669.31µm
net384,669.26µm
net361,668.01µm
net1301,666.79µm
net368,665.895µm
net328,664.28µm
net504,664.12µm
net338,654.92µm
net277,654.125µm
net467,651.27µm
net834,649.395µm
net353,649.325µm
net489,648.68µm
net498,648.03µm
net510,647.785µm
net471,645.09µm
net374,642.29µm
net496,642.105µm
net292,640.13µm
net91,640.07µm
net343,637.795µm
net1483,637.76µm
net410,637.745µm
net473,637.705µm
net500,634.105µm
net601,630.255µm
net380,630.15µm
net483,627.425µm
net474,627.14µm
net1284,626.49µm
net530,626.19µm
net440,623.81µm
net381,622.48µm
net336,622.14µm
net294,621.87µm
net457,621.725µm
net1299,621.3µm
net1288,620.6µm
net281,620.175µm
net66,619.43µm
net461,618.92µm
net414,616.555µm
net478,615.89µm
net777,615.175µm
net405,614.59µm
net403,610.79µm
net499,610.395µm
net63,609.965µm
net67,609.455µm
net65,609.185µm
net492,608.44µm
net518,608.4µm
net574,607.805µm
net349,607.65µm
net383,606.95µm
net332,606.875µm
net493,606.605µm
net1482,605.765µm
net397,603.81µm
net64,603.07µm
net409,603.065µm
net837,602.94µm
net445,602.475µm
net1297,599.95µm
clk_i,598.92µm
net475,597.345µm
net286,597.06µm
net520,595.77µm
net68,594.815µm
net1282,593.75µm
net1298,593.42µm
net836,593.265µm
_02812_,593.12µm
net526,592.625µm
net378,592.07µm
net1283,591.265µm
net849,590.835µm
net480,590.205µm
net1295,589.38µm
net339,589.085µm
net490,588.99µm
net502,588.625µm
net359,588.17µm
net491,587.035µm
net1292,583.86µm
net482,583.435µm
net391,583.3µm
net1440,582.465µm
net1294,582.315µm
net739,578.435µm
net1296,578.02µm
net40,577.825µm
net393,577.385µm
net989,576.88µm
net1286,574.05µm
net749,573.46µm
net1291,572.42µm
net39,569.01µm
_02842_,568.63µm
net477,567.625µm
net385,566.22µm
net282,565.6µm
net1290,564.93µm
net377,564.48µm
net345,564.04µm
net771,562.13µm
net462,561.27µm
net1293,560.19µm
net411,558.3µm
net1285,557.765µm
net675,556.865µm
net329,555.585µm
net41,551.71µm
net444,550.18µm
net983,549.605µm
net1280,549.56µm
net497,546.35µm
net370,543.97µm
net290,543.63µm
net441,543.22µm
net846,538.71µm
net1332,538.49µm
net1329,537.935µm
net479,537.225µm
net398,536.915µm
net529,536.905µm
net844,534.18µm
net356,532.19µm
_02874_,531.93µm
net484,530.555µm
_00007_,526.12µm
net396,525.28µm
net1313,525.175µm
net364,523.435µm
_00001_,523.2µm
net43,522.58µm
net42,521µm
net94,518.71µm
net700,517.735µm
net408,515.185µm
net753,513.725µm
net375,512.505µm
net465,508.92µm
net44,507.17µm
net1082,506.565µm
net486,506.3µm
net485,502.9µm
net376,502.25µm
net783,499.06µm
net476,496.59µm
net344,490.405µm
net472,488.315µm
net1326,487.745µm
net481,486.51µm
net365,486.095µm
net1320,485.31µm
net389,484.97µm
net627,484.025µm
net1331,482.94µm
net838,482.105µm
net279,480.65µm
net516,479.39µm
net1281,478.76µm
net524,476.39µm
net337,475µm
net859,474.665µm
net296,472.82µm
net254,471.475µm
net293,470.42µm
net367,469.74µm
net847,464.805µm
net301,464.75µm
