2026-09-16 00:02:45 +0530: Memory Usage (423168K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_4/58-klayout-streamout/picorv32_macro.gds
2026-09-16 00:02:45 +0530: Memory Usage (423324K) : Ruby Version for klayout: 3.3.10
2026-09-16 00:02:46 +0530: Memory Usage (432312K) : Loading database to memory is complete.
2026-09-16 00:02:46 +0530: Memory Usage (432312K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/picorv32/runs/run_4/65-klayout-drc/reports/drc.klayout.lyrdb
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : Evaluate switches.
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : tables selected: main
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : deep mode is enabled.
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : FEOL enabled: true
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : BEOL enabled: true
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : OFFGRID enabled: true
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : ANGLE enabled: true
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : PIN enabled: true
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : FORBIDDEN enabled: true
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : RECOMMENDED enabled: false
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : PreCheck DRC enabled: false
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : CONNECTIVITY_RULES enabled: true.
2026-09-16 00:02:46 +0530: Memory Usage (432496K) : Read in polygons from layers.
2026-09-16 00:02:46 +0530: Memory Usage (439332K) : activ_drw has 156983 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439332K) : activ_pin has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439332K) : activ_mask has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439332K) : activ_filler has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439460K) : activ_nofill has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439460K) : activ_opc has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439460K) : activ_iopc has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439460K) : activ_noqrc has 0 polygons
2026-09-16 00:02:46 +0530: Memory Usage (439460K) : biwind_drw has 0 polygons
