net,length_um
net11,1.00032mm
net112,957.42µm
net22,912.72µm
net189,886.86µm
net111,831.67µm
net33,812.95µm
net2,809.1µm
net10,807.49µm
net77,803.02µm
net9,789.72µm
net1,788.64µm
net149,760.7µm
net44,739.8µm
net6,735.55µm
net5,730.86µm
net8,730.45µm
net659,724.93µm
net7,718.98µm
net3,688.03µm
net178,669.185µm
net4,657.79µm
net179,652.71µm
net662,651.13µm
net176,619.03µm
net110,608.58µm
net641,602.95µm
net188,599.13µm
net175,574.94µm
net173,574.64µm
net174,563.55µm
net172,556.87µm
net169,513.61µm
net170,511.05µm
net168,510.19µm
net171,506.89µm
net167,480.715µm
net653,465.73µm
clknet_0_clk_i_regs,463.66µm
net163,462.295µm
net164,452.17µm
net644,439.75µm
net165,432.475µm
net162,432.01µm
net638,419.05µm
clk_i,411.385µm
net647,395.77µm
net39,395.71µm
net40,391.33µm
net635,376.8µm
net656,372.32µm
net154,363.35µm
net41,347.23µm
net42,344.94µm
net12,338.95µm
net13,337.27µm
net160,333.08µm
net632,330.07µm
net650,326.47µm
_303_,324.42µm
net151,321.55µm
net150,321.26µm
net161,318.61µm
net16,317.17µm
net578,317.16µm
_002_,313.18µm
net584,311.94µm
net581,309.91µm
net629,309.48µm
net35,307.62µm
net679,305.4µm
net43,303.61µm
net159,301.825µm
net599,301.69µm
net676,301.38µm
net596,301.375µm
net587,301.315µm
net158,300.68µm
net623,299.76µm
net34,299.3µm
net593,299.17µm
net617,297.665µm
net14,297.54µm
net620,296.07µm
net680,295.74µm
net590,295.51µm
net626,295.45µm
net602,294.97µm
net682,294.44µm
sram_dout\[3\],294.27µm
net674,294.08µm
net32,293.65µm
net608,292.83µm
_003_,292.82µm
net605,291.13µm
net681,290.95µm
net614,290.54µm
net378,290.23µm
net686,290.16µm
net675,290.1µm
net672,290.08µm
net25,289.69µm
net17,289.1µm
sram_dout\[2\],288.96µm
net611,288.9µm
net685,288.77µm
net31,288.74µm
net670,287.46µm
net678,286.15µm
net19,286.02µm
net684,285.85µm
net683,284.66µm
net21,284.58µm
net23,284.58µm
net24,284.58µm
net26,284.58µm
net20,284.47µm
_311_,284.22µm
_331_,284.07µm
net688,283.81µm
net15,283.74µm
net18,283.14µm
net673,283.03µm
net29,282.66µm
net30,282.3µm
net671,282µm
net27,280.38µm
net28,279.42µm
net157,279.02µm
net687,277.785µm
net190,277.26µm
net677,275.28µm
sram_dout\[10\],269.67µm
sram_dout\[5\],267.61µm
_307_,266.82µm
net153,265.78µm
net196,258.755µm
sram_dout\[6\],254.66µm
net185,253.15µm
net186,251.48µm
sram_dout\[4\],250.95µm
_305_,246.06µm
sram_dout\[9\],245.31µm
_309_,244.26µm
net229,244.11µm
sram_dout\[7\],243.8µm
net243,241.29µm
net156,241.235µm
sram_dout\[13\],228.08µm
_245_,227.125µm
net36,226.5µm
net249,226.21µm
net38,226.205µm
sram_dout\[11\],225.73µm
net37,224.58µm
net371,219.775µm
net452,217.92µm
net490,215.86µm
net241,215.305µm
net182,210.43µm
net193,209.875µm
_313_,206.11µm
net184,204.42µm
net181,203.7µm
sram_bm\[0\],202.69µm
net510,200.11µm
clknet_4_5_0_clk_i_regs,199.325µm
net202,198.39µm
_261_,195.76µm
net145,195.13µm
net147,194.7µm
_010_,194.08µm
sram_dout\[8\],193.71µm
clknet_4_7_0_clk_i_regs,191.395µm
net148,191.22µm
sram_dout\[12\],189.77µm
_205_,186.78µm
net402,185.74µm
net396,182.07µm
net232,181.785µm
_012_,178.245µm
net183,175.74µm
_211_,172.27µm
sram_dout\[14\],170.04µm
net389,166.97µm
sram_dout\[15\],166.59µm
_215_,166.45µm
net78,165.85µm
net56,163.8µm
_219_,163.14µm
net482,162.51µm
net473,162.16µm
net488,161.49µm
net100,161.46µm
net103,161.46µm
net476,160.72µm
net448,159.62µm
net89,159.37µm
net485,157.75µm
_223_,157.38µm
net459,156.61µm
_014_,156.15µm
_011_,155.43µm
net470,154.82µm
clknet_4_4_0_clk_i_regs,153.91µm
net479,153.71µm
net451,153.57µm
net445,153.09µm
net462,152.85µm
net456,152.23µm
net467,150.87µm
_135_,150.73µm
net439,150.43µm
clknet_4_1_0_clk_i_regs,149.39µm
net399,149.36µm
net442,148.63µm
_336_,147.32µm
net106,147.3µm
clknet_4_6_0_clk_i_regs,146.98µm
_227_,144.31µm
net107,142.26µm
clknet_4_8_0_clk_i_regs,142.155µm
net177,140.23µm
net105,140.22µm
net227,139.745µm
net360,139.23µm
clknet_4_2_0_clk_i_regs,139.01µm
net180,136.87µm
net228,136.51µm
net245,136.29µm
net45,136.2µm
_054_,135.84µm
net198,135.065µm
net104,133.14µm
clknet_4_3_0_clk_i_regs,132.395µm
clknet_4_0_0_clk_i_regs,132.095µm
_013_,131.34µm
_239_,129.91µm
clknet_4_10_0_clk_i_regs,129.43µm
net155,129.3µm
net238,129.25µm
_141_,126.48µm
net240,124.315µm
net235,124.12µm
net166,123.405µm
clknet_4_11_0_clk_i_regs,123.2µm
net337,122.32µm
net425,119.49µm
net499,119.4µm
_231_,118.5µm
net368,115.51µm
net231,115.485µm
_243_,115.26µm
net422,114.31µm
net199,112.805µm
net428,112.53µm
net230,112.43µm
_235_,111.67µm
net405,109.59µm
net233,109.42µm
net408,108.55µm
net415,108.475µm
net194,108.125µm
net218,107.58µm
net236,106.84µm
net234,105.22µm
net200,103.555µm
net248,101.715µm
net108,101.22µm
net221,100.88µm
net434,100.68µm
clknet_4_15_0_clk_i_regs,99.81µm
net223,98.69µm
net366,98.295µm
net354,98.07µm
