2026-09-21 21:54:08 +0530: Memory Usage (422808K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/ram/runs/run_1/59-klayout-streamout/ram_macro.gds
2026-09-21 21:54:08 +0530: Memory Usage (422964K) : Ruby Version for klayout: 3.3.10
2026-09-21 21:54:08 +0530: Memory Usage (426132K) : Loading database to memory is complete.
2026-09-21 21:54:08 +0530: Memory Usage (426132K) : IHP-SG13G2 KLayout DRC runset output at: /home/jaikrishn/Documents/hardware/picorv32_axi4lite_port/phyisical_design/macros/ram/runs/run_1/66-klayout-drc/reports/drc.klayout.lyrdb
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : Evaluate switches.
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : tables selected: main
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : deep mode is enabled.
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : FEOL enabled: true
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : BEOL enabled: true
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : OFFGRID enabled: true
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : ANGLE enabled: true
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : PIN enabled: true
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : FORBIDDEN enabled: true
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : RECOMMENDED enabled: false
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : PreCheck DRC enabled: false
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : CONNECTIVITY_RULES enabled: true.
2026-09-21 21:54:08 +0530: Memory Usage (426316K) : Read in polygons from layers.
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_drw has 592929 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_pin has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_mask has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_filler has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_nofill has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_opc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_iopc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : activ_noqrc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : biwind_drw has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : biwind_opc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428276K) : pemwind_drw has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_drw has 478712 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_pin has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_filler has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_nofill has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_opc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_iopc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : gatpoly_noqrc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : cont_drw has 1265638 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : cont_opc has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : nsd_drw has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (428788K) : nsd_block has 0 polygons
2026-09-21 21:54:08 +0530: Memory Usage (429044K) : metal1_drw has 935127 polygons
