net,length_um
rst_ni,3.068275mm
s_wstrb\[1\],2.28834mm
s_awready\[0\],2.10271mm
clknet_1_0__leaf_clk_i,2.094665mm
s_bresp\[0\],2.0894mm
s_bvalid\[0\],2.080675mm
s_wdata\[25\],2.078285mm
s_wready\[0\],2.04937mm
s_wstrb\[2\],2.03971mm
s_wstrb\[3\],2.03368mm
s_wdata\[20\],2.018245mm
s_bresp\[1\],1.98873mm
s_wdata\[29\],1.971565mm
s_wdata\[24\],1.964125mm
s_wdata\[15\],1.94411mm
s_wdata\[12\],1.940115mm
s_rdata\[0\],1.932445mm
s_wdata\[31\],1.931595mm
s_rdata\[2\],1.930405mm
s_wdata\[23\],1.92398mm
s_wdata\[27\],1.91763mm
s_rdata\[5\],1.906175mm
s_wdata\[19\],1.899385mm
s_rdata\[6\],1.87874mm
s_wdata\[4\],1.86432mm
s_wdata\[1\],1.8464mm
s_wdata\[30\],1.845915mm
s_wdata\[22\],1.84563mm
s_wdata\[28\],1.818105mm
s_wdata\[10\],1.81482mm
s_wdata\[26\],1.80992mm
s_rdata\[13\],1.794315mm
s_arready\[0\],1.789435mm
s_wdata\[7\],1.7865mm
s_wdata\[16\],1.785355mm
s_wdata\[14\],1.77058mm
s_wdata\[5\],1.76818mm
s_araddr\[11\],1.767825mm
s_araddr\[5\],1.766885mm
s_wdata\[17\],1.76295mm
s_araddr\[9\],1.753245mm
s_wdata\[6\],1.75281mm
s_wdata\[0\],1.75173mm
s_wstrb\[0\],1.74741mm
s_wdata\[11\],1.7333mm
s_araddr\[10\],1.732595mm
s_awaddr\[28\],1.726145mm
s_wdata\[8\],1.72222mm
s_awaddr\[30\],1.715245mm
s_wdata\[2\],1.705195mm
s_araddr\[8\],1.704275mm
s_wdata\[9\],1.695955mm
s_wdata\[13\],1.693945mm
s_rdata\[4\],1.69276mm
s_awaddr\[29\],1.687975mm
s_rdata\[1\],1.683125mm
s_wdata\[18\],1.68067mm
s_rdata\[21\],1.67836mm
s_awaddr\[31\],1.67571mm
s_wdata\[21\],1.67194mm
s_rdata\[18\],1.671095mm
s_rdata\[3\],1.66211mm
s_awaddr\[16\],1.652545mm
s_araddr\[27\],1.652265mm
s_rdata\[19\],1.64998mm
s_awaddr\[18\],1.649035mm
s_awaddr\[19\],1.64803mm
s_wdata\[3\],1.644595mm
s_araddr\[25\],1.64265mm
s_araddr\[6\],1.63003mm
s_awaddr\[26\],1.62427mm
s_rdata\[7\],1.61843mm
s_araddr\[22\],1.61573mm
s_araddr\[3\],1.612045mm
s_rdata\[12\],1.611225mm
s_rdata\[8\],1.60727mm
s_araddr\[23\],1.607255mm
s_awaddr\[27\],1.60495mm
s_araddr\[24\],1.60423mm
s_awaddr\[17\],1.603985mm
s_awaddr\[14\],1.59811mm
s_araddr\[26\],1.59116mm
s_rdata\[10\],1.58207mm
s_awaddr\[22\],1.580695mm
s_araddr\[21\],1.57838mm
s_awaddr\[12\],1.57375mm
s_araddr\[31\],1.571405mm
s_rdata\[14\],1.56623mm
s_rdata\[11\],1.56515mm
s_awaddr\[23\],1.56465mm
s_rdata\[20\],1.563095mm
s_awaddr\[24\],1.56282mm
s_araddr\[20\],1.56218mm
s_awaddr\[25\],1.559755mm
s_awaddr\[15\],1.55826mm
s_awaddr\[21\],1.553815mm
s_awaddr\[10\],1.522065mm
s_awaddr\[20\],1.51771mm
s_araddr\[29\],1.51486mm
s_araddr\[30\],1.51343mm
s_rdata\[9\],1.509825mm
s_rdata\[15\],1.508865mm
s_araddr\[18\],1.50845mm
s_araddr\[28\],1.5048mm
s_awaddr\[13\],1.50223mm
s_araddr\[13\],1.50069mm
s_awaddr\[3\],1.495905mm
s_araddr\[19\],1.49086mm
s_araddr\[17\],1.482465mm
s_araddr\[16\],1.480315mm
boot_wdata\[25\],1.47927mm
s_araddr\[0\],1.47704mm
s_araddr\[14\],1.474255mm
boot_wdata\[26\],1.47152mm
boot_wdata\[24\],1.4708mm
s_araddr\[12\],1.46441mm
boot_addr\[31\],1.45975mm
s_araddr\[4\],1.45751mm
boot_wdata\[27\],1.45004mm
s_rdata\[17\],1.44118mm
boot_addr\[30\],1.43637mm
s_araddr\[15\],1.433715mm
boot_wdata\[1\],1.431865mm
boot_wdata\[28\],1.423965mm
s_araddr\[7\],1.423165mm
s_rdata\[23\],1.419225mm
boot_wdata\[17\],1.412mm
boot_addr\[29\],1.41116mm
boot_wdata\[29\],1.403325mm
boot_wdata\[30\],1.402595mm
s_awaddr\[9\],1.40228mm
boot_wdata\[31\],1.39352mm
boot_addr\[28\],1.393445mm
s_rdata\[16\],1.3909mm
cpu_araddr\[5\],1.39005mm
s_rdata\[22\],1.389285mm
s_rvalid\[0\],1.384965mm
boot_we,1.38324mm
s_rdata\[25\],1.38164mm
s_awaddr\[0\],1.380475mm
boot_wdata\[16\],1.378485mm
s_awaddr\[11\],1.37566mm
boot_wdata\[18\],1.373325mm
boot_addr\[13\],1.36176mm
s_rdata\[26\],1.361505mm
boot_addr\[15\],1.36035mm
s_awaddr\[7\],1.359745mm
boot_addr\[27\],1.35873mm
s_araddr\[2\],1.35821mm
boot_addr\[12\],1.35777mm
boot_addr\[20\],1.355765mm
boot_wdata\[19\],1.353525mm
boot_addr\[26\],1.35034mm
boot_addr\[16\],1.348085mm
boot_addr\[25\],1.346045mm
boot_addr\[14\],1.343405mm
boot_addr\[17\],1.342805mm
s_rdata\[24\],1.3401mm
boot_wdata\[22\],1.339085mm
s_araddr\[1\],1.33894mm
s_awaddr\[8\],1.33505mm
s_awaddr\[4\],1.33462mm
cpu_araddr\[3\],1.332295mm
boot_wdata\[20\],1.332045mm
boot_addr\[11\],1.331815mm
boot_addr\[10\],1.330735mm
boot_addr\[19\],1.32481mm
boot_wdata\[9\],1.323555mm
boot_wdata\[23\],1.321345mm
boot_addr\[18\],1.319135mm
boot_wdata\[21\],1.312245mm
clknet_1_1__leaf_clk_i,1.309275mm
boot_wdata\[8\],1.2998mm
boot_wdata\[10\],1.29692mm
boot_wdata\[14\],1.295625mm
boot_addr\[4\],1.29453mm
s_rdata\[27\],1.289385mm
gpio0_in[5],1.281405mm
gpio0_in[9],1.277215mm
gpio0_in[29],1.274465mm
gpio0_in[26],1.269905mm
gpio0_in[10],1.26918mm
gpio0_in[4],1.268105mm
boot_wdata\[11\],1.26752mm
gpio0_in[18],1.265155mm
gpio0_in[20],1.262045mm
cpu_araddr\[10\],1.259705mm
s_rdata\[28\],1.256985mm
boot_wdata\[12\],1.255615mm
s_rdata\[31\],1.254425mm
gpio0_in[0],1.25275mm
boot_addr\[9\],1.251055mm
cpu_araddr\[6\],1.25097mm
boot_wdata\[13\],1.24928mm
s_awaddr\[6\],1.24877mm
s_rdata\[29\],1.24823mm
gpio0_in[14],1.244775mm
s_awaddr\[2\],1.243875mm
cpu_araddr\[9\],1.237865mm
boot_addr\[8\],1.23777mm
boot_wdata\[15\],1.235mm
boot_addr\[5\],1.233265mm
gpio0_out[26],1.232865mm
s_rdata\[30\],1.23036mm
cpu_araddr\[8\],1.228865mm
boot_wdata\[6\],1.228795mm
gpio0_out[19],1.223625mm
gpio0_out[23],1.221115mm
cpu_araddr\[11\],1.219985mm
gpio0_out[5],1.216065mm
boot_addr\[6\],1.214325mm
s_rresp\[0\],1.21367mm
gpio0_out[28],1.213315mm
s_awaddr\[5\],1.210775mm
gpio0_dir[7],1.210065mm
boot_wdata\[2\],1.20788mm
gpio0_out[16],1.207675mm
gpio0_out[27],1.206105mm
s_rresp\[1\],1.205325mm
gpio0_out[12],1.202155mm
gpio0_out[1],1.200835mm
boot_wdata\[0\],1.20008mm
gpio0_dir[5],1.197225mm
gpio0_dir[30],1.196025mm
gpio0_out[6],1.195695mm
boot_addr\[3\],1.192235mm
boot_addr\[7\],1.18989mm
gpio0_out[22],1.188235mm
s_awaddr\[1\],1.187355mm
gpio0_out[18],1.185235mm
gpio0_out[15],1.184035mm
gpio0_dir[25],1.183665mm
boot_wdata\[7\],1.182115mm
boot_wdata\[3\],1.181815mm
gpio0_dir[28],1.181505mm
gpio0_dir[26],1.177905mm
boot_wdata\[4\],1.177135mm
gpio0_out[0],1.176825mm
gpio0_out[14],1.176355mm
boot_wdata\[5\],1.17332mm
gpio0_dir[22],1.172385mm
gpio0_dir[14],1.170955mm
gpio0_dir[4],1.168915mm
gpio0_out[17],1.166635mm
gpio0_dir[2],1.166155mm
gpio0_dir[21],1.164705mm
gpio0_dir[6],1.164585mm
gpio0_out[13],1.164475mm
gpio0_dir[3],1.163385mm
gpio0_dir[18],1.161825mm
gpio0_dir[17],1.161235mm
gpio0_dir[0],1.160875mm
gpio0_out[31],1.159395mm
gpio0_dir[11],1.159305mm
gpio0_out[3],1.156925mm
gpio0_dir[23],1.156545mm
gpio0_dir[31],1.156195mm
boot_addr\[2\],1.15558mm
gpio0_in[31],1.155375mm
gpio0_in[28],1.154335mm
gpio0_out[25],1.154155mm
cpu_arvalid,1.153635mm
gpio0_dir[1],1.152595mm
gpio0_in[21],1.15238mm
gpio0_out[4],1.152105mm
boot_addr\[24\],1.15148mm
gpio0_out[21],1.148955mm
gpio0_out[10],1.148525mm
gpio0_dir[8],1.147555mm
gpio0_out[24],1.146475mm
cpu_araddr\[0\],1.14631mm
gpio0_dir[9],1.143475mm
gpio0_out[30],1.143365mm
gpio0_out[7],1.140605mm
gpio0_dir[27],1.139755mm
gpio0_in[27],1.137665mm
gpio0_out[11],1.136515mm
gpio0_dir[19],1.135435mm
cpu_arready,1.13432mm
gpio0_dir[16],1.134235mm
gpio0_out[20],1.134235mm
gpio0_dir[29],1.134115mm
clk_i,1.13376mm
gpio0_dir[24],1.133515mm
gpio0_in[23],1.132935mm
cpu_araddr\[4\],1.132885mm
gpio0_dir[13],1.131355mm
gpio0_dir[20],1.127995mm
gpio0_in[3],1.124995mm
gpio0_in[15],1.123205mm
gpio0_out[9],1.120215mm
boot_addr\[22\],1.12015mm
gpio0_in[7],1.118895mm
gpio0_dir[12],1.115275mm
gpio0_out[2],1.114385mm
s_rready\[2\],1.110555mm
boot_addr\[23\],1.10828mm
gpio0_out[29],1.105075mm
gpio0_dir[15],1.104715mm
s_awvalid\[0\],1.10311mm
gpio0_in[30],1.10001mm
gpio0_in[25],1.099685mm
gpio0_in[12],1.099225mm
gpio0_dir[10],1.096555mm
gpio0_out[8],1.093315mm
gpio0_in[16],1.090685mm
boot_addr\[21\],1.089465mm
gpio0_in[8],1.088275mm
gpio0_in[24],1.086855mm
gpio0_in[1],1.084445mm
gpio0_in[11],1.084145mm
gpio0_in[17],1.083475mm
gpio0_in[6],1.081335mm
gpio0_in[2],1.075855mm
gpio0_in[22],1.072565mm
gpio0_in[19],1.067895mm
s_rdata\[91\],1.06263mm
gpio0_in[13],1.061605mm
cpu_araddr\[1\],1.05476mm
s_araddr\[92\],1.043715mm
s_araddr\[95\],1.041315mm
s_rdata\[94\],1.039125mm
s_araddr\[93\],1.029195mm
cpu_araddr\[27\],1.02777mm
s_wvalid\[0\],1.026065mm
s_awaddr\[69\],1.019425mm
s_araddr\[78\],1.017765mm
s_rdata\[92\],1.01638mm
s_awaddr\[65\],1.014385mm
s_rresp\[4\],1.007375mm
s_rdata\[65\],1.001205mm
s_araddr\[80\],997.965µm
s_rdata\[81\],995.35µm
s_araddr\[82\],994.725µm
s_rdata\[80\],994.41µm
s_rdata\[95\],988.66µm
s_wstrb\[8\],988.015µm
cpu_arprot\[0\],987.57µm
s_rresp\[5\],987.09µm
s_rdata\[86\],985.66µm
cpu_araddr\[2\],982.895µm
s_awaddr\[70\],982.715µm
cpu_araddr\[21\],982.63µm
s_rdata\[82\],981.31µm
s_araddr\[81\],976.605µm
s_araddr\[94\],975.3µm
s_rdata\[93\],974.535µm
cpu_rdata\[0\],972.775µm
s_araddr\[83\],971.475µm
s_wdata\[82\],963.41µm
s_rdata\[73\],954.09µm
s_araddr\[65\],952.53µm
s_arvalid\[2\],951.93µm
s_rdata\[79\],945.69µm
s_rdata\[78\],943.27µm
s_awaddr\[68\],940.855µm
s_rdata\[67\],939.165µm
cpu_araddr\[7\],936.55µm
s_wdata\[85\],934.615µm
s_wdata\[67\],933.98µm
s_araddr\[79\],932.085µm
s_rdata\[72\],929.96µm
s_araddr\[76\],925.27µm
s_rdata\[71\],923.685µm
s_awaddr\[66\],922.35µm
boot_addr\[1\],919.04µm
s_araddr\[66\],918.07µm
cpu_rvalid,909.065µm
s_awaddr\[72\],907.61µm
s_rdata\[74\],905.95µm
s_araddr\[71\],902.59µm
s_rdata\[88\],900.015µm
s_araddr\[68\],896.685µm
cpu_araddr\[23\],894.31µm
cpu_arprot\[2\],890.575µm
cpu_araddr\[20\],889.03µm
s_rdata\[103\],888.67µm
s_rdata\[68\],884.165µm
s_awaddr\[71\],882.295µm
gpio2_in[23],881.955µm
cpu_araddr\[24\],881.35µm
s_wdata\[75\],880.135µm
cpu_araddr\[22\],878.84µm
s_rdata\[89\],874.875µm
s_araddr\[77\],874.75µm
boot_addr\[0\],874.04µm
s_araddr\[90\],873.91µm
s_awaddr\[75\],872.335µm
s_awaddr\[64\],871.75µm
cpu_araddr\[14\],871.29µm
cpu_araddr\[17\],867.74µm
s_wdata\[57\],867.59µm
s_rdata\[90\],867.345µm
s_araddr\[85\],866.95µm
s_bready\[0\],866.02µm
s_rdata\[106\],865.28µm
cpu_awaddr\[4\],864.575µm
cpu_araddr\[25\],864.55µm
cpu_araddr\[19\],860.86µm
cpu_araddr\[13\],858.555µm
cpu_araddr\[15\],858.315µm
cpu_araddr\[12\],857.115µm
s_wdata\[78\],856.715µm
s_wdata\[73\],855.695µm
s_araddr\[84\],855.525µm
cpu_araddr\[26\],850.63µm
s_wdata\[72\],849.845µm
gpio2_dir[19],849.47µm
s_rvalid\[2\],849.295µm
gpio2_out[16],848.63µm
s_araddr\[117\],846.56µm
s_araddr\[88\],846.27µm
gpio2_dir[13],843.9µm
s_rdata\[83\],839.97µm
gpio2_dir[5],839.39µm
gpio2_out[23],838.18µm
cpu_rdata\[6\],834.695µm
cpu_araddr\[16\],832.875µm
s_wdata\[66\],832.37µm
cpu_awaddr\[7\],832.175µm
gpio2_in[31],831.405µm
s_rdata\[84\],828.415µm
gpio2_in[9],828.4µm
s_wdata\[81\],827.575µm
gpio2_out[27],824.94µm
gpio2_out[1],823.78µm
gpio2_dir[25],823.31µm
s_wdata\[77\],823.16µm
cpu_rdata\[2\],822.945µm
s_wdata\[92\],821.475µm
cpu_araddr\[31\],821.115µm
s_araddr\[86\],820.99µm
gpio2_out[5],819.22µm
gpio2_out[0],818.15µm
s_awaddr\[73\],817.715µm
s_araddr\[37\],817.705µm
s_wdata\[44\],817.31µm
s_araddr\[102\],816.56µm
s_wdata\[80\],815.695µm
s_bresp\[2\],815.03µm
gpio2_dir[28],814.43µm
s_awaddr\[85\],813.79µm
gpio2_dir[9],812.99µm
s_rdata\[87\],811.72µm
s_awaddr\[84\],810.67µm
cpu_araddr\[18\],810.315µm
s_wdata\[94\],810.29µm
s_araddr\[116\],809.52µm
cpu_awaddr\[11\],808.015µm
s_awaddr\[102\],807.35µm
s_awaddr\[89\],806.95µm
s_araddr\[87\],806.365µm
gpio2_out[12],805.78µm
cpu_rdata\[5\],804.78µm
s_bresp\[3\],804.11µm
gpio2_dir[17],801.35µm
gpio2_out[18],799.78µm
cpu_araddr\[28\],798.195µm
gpio2_dir[14],795.95µm
s_wdata\[90\],794.195µm
gpio2_dir[22],792.71µm
gpio2_out[25],790.54µm
s_wdata\[126\],790.29µm
s_rdata\[107\],788.24µm
s_araddr\[89\],787.89µm
s_rdata\[38\],787.465µm
s_rdata\[66\],786.21µm
s_rdata\[110\],785.35µm
s_awaddr\[76\],784.87µm
s_araddr\[120\],784.5µm
s_bready\[1\],783.71µm
s_araddr\[91\],783.69µm
s_araddr\[118\],783.31µm
gpio2_dir[26],783.11µm
gpio2_out[21],782.5µm
s_awaddr\[88\],781.99µm
gpio2_dir[31],781.19µm
s_awaddr\[86\],779.95µm
gpio2_dir[6],779.87µm
cpu_rdata\[13\],779.73µm
s_wdata\[64\],779.52µm
gpio2_dir[11],777.95µm
s_rdata\[76\],777.91µm
gpio2_dir[20],774.46µm
cpu_arprot\[1\],774.19µm
s_rdata\[42\],771.485µm
gpio2_out[13],770.52µm
s_araddr\[122\],770.1µm
s_awaddr\[101\],770.01µm
gpio2_dir[12],769.67µm
gpio2_out[3],768.58µm
s_rdata\[75\],768.57µm
gpio2_dir[15],767.14µm
s_araddr\[64\],764.845µm
