Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,119
design__inferred_latch__count,0
design__instance__count,363
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0000463503529317677
power__switching__total,0.0001508795248810202
power__leakage__total,5.6767950340486095E-9
power__total,0.00019723555305972695
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0.0
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.0
timing__hold__ws__corner:nom_fast_1p32V_m40C,1.0000000433293989E+39
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.0000000433293989E+39
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,9
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0.0
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.0
timing__hold__ws__corner:nom_slow_1p08V_125C,1.0000000433293989E+39
timing__setup__ws__corner:nom_slow_1p08V_125C,1.0000000433293989E+39
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,0.0
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.0
timing__hold__ws__corner:nom_typ_1p20V_25C,1.0000000433293989E+39
timing__setup__ws__corner:nom_typ_1p20V_25C,1.0000000433293989E+39
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,9
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,1.0000000433293989E+39
timing__setup__ws,1.0000000433293989E+39
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 5000.0 3000.0
design__core__bbox,50.4 52.92 4949.76 2948.4
design__io,296
design__die__area,1.5E+7
design__core__area,1.4186E+7
design__instance__area,1.20052E+6
design__instance__count__stdcell,356
design__instance__area__stdcell,2053.9
design__instance__count__macros,7
design__instance__area__macros,1.19846E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0846268
design__instance__utilization__stdcell,0.000158144
design__rows,1466
design__rows:CoreSite,1466
design__sites,4270812
design__sites:CoreSite,4270812
design__instance__count__class:macro,7
design__instance__area__class:macro,1.19846E+6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,5
flow__warnings__count:ORD-2011,5
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PSM-0038,6
flow__warnings__count:PSM-0039,1
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,546
design__power_grid_violation__count,546
floorplan__design__io,294
design__io__hpwl,99580365
design__instance__displacement__total,38.159
design__instance__displacement__mean,3.469
design__instance__displacement__max,11.62
route__wirelength__estimated,1.71573E+6
design__violations,0
design__instance__count__class:clock_buffer,4
design__instance__area__class:clock_buffer,137.894
global_route__vias,51
global_route__wirelength,1789905
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,1126
route__net__special,2
route__drc_errors__iter:0,134
route__wirelength__iter:0,1759903
route__drc_errors__iter:1,2
route__wirelength__iter:1,1759901
route__drc_errors__iter:2,2
route__wirelength__iter:2,1759901
route__drc_errors__iter:3,0
route__wirelength__iter:3,1759873
route__drc_errors__iter:4,0
route__wirelength__iter:4,1760028
route__drc_errors,0
route__wirelength,1759873
route__vias,5140
route__vias__singlecut,5140
route__vias__multicut,0
antenna_diodes_count,352
design__instance__count__class:antenna_cell,352
design__instance__area__class:antenna_cell,1916.01
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,8103.02
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,96
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,96
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,96
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,96
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,96
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,96
timing__unannotated_net__count,96
timing__unannotated_net_filtered__count,96
design__xor_difference__count,0
magic__drc_error__count,327336
klayout__drc_error__count,13
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,371
design__lvs_property_fail__count,0
design__lvs_error__count,372
design__lvs_unmatched_device__count,0
