Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_628_4748,VDD,Metal1,2289.3600,2388.9600,1.200000
FILLER_628_4746,VDD,Metal1,2288.6400,2388.9600,1.200000
FILLER_628_4739,VDD,Metal1,2286.4890,2388.3610,1.200000
FILLER_628_4732,VDD,Metal1,2283.1290,2388.3610,1.200000
FILLER_628_4725,VDD,Metal1,2279.7690,2388.3610,1.200000
FILLER_628_4718,VDD,Metal1,2276.4090,2388.3610,1.200000
FILLER_628_4711,VDD,Metal1,2273.0490,2388.3610,1.200000
FILLER_628_4704,VDD,Metal1,2269.6890,2388.3610,1.200000
FILLER_628_4697,VDD,Metal1,2266.3290,2388.3610,1.200000
FILLER_628_4690,VDD,Metal1,2262.9690,2388.3610,1.200000
FILLER_628_4683,VDD,Metal1,2259.6090,2388.3610,1.200000
FILLER_628_4676,VDD,Metal1,2256.2490,2388.3610,1.200000
FILLER_628_4669,VDD,Metal1,2252.8890,2388.3610,1.200000
FILLER_628_4662,VDD,Metal1,2249.5290,2388.3610,1.200000
FILLER_628_4655,VDD,Metal1,2246.1690,2388.3610,1.200000
FILLER_628_4648,VDD,Metal1,2242.8090,2388.3610,1.200000
FILLER_628_4641,VDD,Metal1,2239.4490,2388.3610,1.200000
FILLER_628_4634,VDD,Metal1,2236.0890,2388.3610,1.200000
FILLER_628_4627,VDD,Metal1,2232.7290,2388.3610,1.200000
FILLER_628_4620,VDD,Metal1,2229.3690,2388.3610,1.200000
FILLER_628_4613,VDD,Metal1,2226.0090,2388.3610,1.200000
FILLER_628_4606,VDD,Metal1,2222.6490,2388.3610,1.200000
FILLER_628_4599,VDD,Metal1,2219.2890,2388.3610,1.200000
FILLER_628_4592,VDD,Metal1,2215.9290,2388.3610,1.200000
FILLER_628_4585,VDD,Metal1,2212.5690,2388.3610,1.200000
FILLER_628_4578,VDD,Metal1,2209.2090,2388.3610,1.200000
FILLER_628_4571,VDD,Metal1,2205.8490,2388.3610,1.200000
FILLER_628_4564,VDD,Metal1,2202.4890,2388.3610,1.200000
FILLER_628_4557,VDD,Metal1,2199.1290,2388.3610,1.200000
FILLER_628_4550,VDD,Metal1,2195.7690,2388.3610,1.200000
FILLER_628_4543,VDD,Metal1,2192.4090,2388.3610,1.200000
FILLER_628_4536,VDD,Metal1,2189.0490,2388.3610,1.200000
FILLER_628_4529,VDD,Metal1,2185.6890,2388.3610,1.200000
FILLER_628_4522,VDD,Metal1,2182.3290,2388.3610,1.200000
FILLER_628_4515,VDD,Metal1,2178.9690,2388.3610,1.200000
FILLER_628_4508,VDD,Metal1,2175.6090,2388.3610,1.200000
FILLER_628_4501,VDD,Metal1,2172.2490,2388.3610,1.200000
FILLER_628_4494,VDD,Metal1,2168.8890,2388.3610,1.200000
FILLER_628_4487,VDD,Metal1,2165.5290,2388.3610,1.200000
FILLER_628_4480,VDD,Metal1,2162.1690,2388.3610,1.200000
FILLER_628_4473,VDD,Metal1,2158.8090,2388.3610,1.200000
FILLER_628_4466,VDD,Metal1,2155.4490,2388.3610,1.200000
FILLER_628_4459,VDD,Metal1,2152.0890,2388.3610,1.200000
FILLER_628_4452,VDD,Metal1,2148.7290,2388.3610,1.200000
FILLER_628_4445,VDD,Metal1,2145.3690,2388.3610,1.200000
FILLER_628_4438,VDD,Metal1,2142.0090,2388.3610,1.200000
FILLER_628_4431,VDD,Metal1,2138.6490,2388.3610,1.200000
FILLER_628_4424,VDD,Metal1,2135.2890,2388.3610,1.200000
FILLER_628_4417,VDD,Metal1,2131.9290,2388.3610,1.200000
FILLER_628_4410,VDD,Metal1,2128.5690,2388.3610,1.200000
FILLER_628_4403,VDD,Metal1,2125.2090,2388.3610,1.200000
FILLER_628_4396,VDD,Metal1,2121.8490,2388.3610,1.200000
FILLER_628_4389,VDD,Metal1,2118.4890,2388.3610,1.200000
FILLER_628_4382,VDD,Metal1,2115.1290,2388.3610,1.200000
FILLER_628_4375,VDD,Metal1,2111.7690,2388.3610,1.200000
FILLER_628_4368,VDD,Metal1,2108.4090,2388.3610,1.200000
FILLER_628_4361,VDD,Metal1,2105.0490,2388.3610,1.200000
FILLER_628_4354,VDD,Metal1,2101.6890,2388.3610,1.200000
